Text,Sentiment
Once upon a midnight dreary,Negative
Over many a quaint and curious volume of forgotten lore,Neutral
While I nodded,Neutral
As of some one gently rapping,Neutral
"'Tis some visitor, I muttered, ""tapping at my chamber door-",Neutral
"                 Only this, and nothing more.""",Neutral
Ah,Neutral
And each separate dying ember wrought its ghost upon the floor.,Negative
Eagerly I wished the morrow;- vainly I had sought to borrow,Neutral
From my books surcease of sorrow- sorrow for the lost Lenore-,Neutral
For the rare and radiant maiden whom the angels name Lenore-,Neutral
                 Nameless here for evermore.,Neutral
And the silken,Neutral
Thrilled me- filled me with fantastic terrors never felt before;,Neutral
So that now,Neutral
"'Tis some visitor entreating entrance at my chamber door-
Some late visitor entreating entrance at my chamber door;-
                 This it is, and nothing more.",Neutral
Presently my soul grew stronger; hesitating then no longer,Neutral
"Sir, said I, ""or Madam, truly your forgiveness I implore;",Neutral
But the fact is I was napping,Positive
And so faintly you came tapping,Neutral
"That I scarce was sure I heard you""- here I opened wide the door;-",Neutral
                 Darkness there,Neutral
Deep into that darkness peering,Neutral
Doubting,Neutral
But the silence was unbroken,Neutral
"And the only word there spoken was the whispered word, ""Lenore?""",Neutral
"This I whispered, and an echo murmured back the word, ""Lenore!""-",Neutral
                 Merely this,Neutral
Back into the chamber turning,Neutral
Soon again I heard a tapping somewhat louder than before.,Neutral
"Surely, said I, ""surely that is something at my window lattice:",Neutral
Let me see,Neutral
Let my heart be still a moment and this mystery explore;-,Neutral
"                 'Tis the wind and nothing more!""",Neutral
Open here I flung the shutter,Neutral
In there stepped a stately Raven of the saintly days of yore;,Neutral
Not the least obeisance made he; not a minute stopped or stayed he;,Neutral
But,Neutral
Perched upon a bust of Pallas just above my chamber door-,Neutral
                 Perched,Neutral
Then this ebony bird beguiling my sad fancy into smiling,Neutral
By the grave and stern decorum of the countenance it wore.,Neutral
"Though thy crest be shorn and shaven, thou, I said, ""art sure no craven,",Neutral
Ghastly grim and ancient Raven wandering from the Nightly shore-,Neutral
"Tell me what thy lordly name is on the Night's Plutonian shore!""",Neutral
"Quoth the Raven, ""Nevermore.""",Neutral
Much I marvelled this ungainly fowl to hear discourse so plainly,Neutral
Though its answer little meaning- little relevancy bore;,Neutral
For we cannot help agreeing that no living human being,Neutral
Ever yet was blessed with seeing bird above his chamber door-,Neutral
Bird or beast upon the sculptured bust above his chamber door,Neutral
"With such name as ""Nevermore.""",Neutral
But the Raven,Neutral
That one word,Neutral
Nothing further then he uttered- not a feather then he fluttered-,Neutral
"Till I scarcely more than muttered, ""Other friends have flown before-",Neutral
"On the morrow he will leave me, as my hopes have flown before.""",Neutral
"Then the bird said, ""Nevermore.""",Neutral
Startled at the stillness broken by reply so aptly spoken,Negative
"Doubtless, said I, ""what it utters is its only stock and store,",Neutral
Caught from some unhappy master whom unmerciful Disaster,Negative
Followed fast and followed faster till his songs one burden bore-,Neutral
Till the dirges of his Hope that melancholy burden bore,Neutral
"Of 'Never- nevermore'.""",Neutral
But the Raven still beguiling all my fancy into smiling,Neutral
Straight I wheeled a cushioned seat in front of bird,Neutral
Then upon the velvet sinking,Neutral
Fancy unto fancy,Neutral
What this grim,Negative
"Meant in croaking ""Nevermore.""",Negative
This I sat engaged in guessing,Neutral
To the fowl whose fiery eyes now burned into my bosom's core;,Negative
This and more I sat divining,Positive
On the cushion's velvet lining that the lamp-light gloated o'er,Positive
But whose velvet violet lining with the lamp-light gloating o'er,Positive
She shall press,Positive
Then methought the air grew denser,Neutral
Swung by Seraphim whose footfalls tinkled on the tufted floor.,Neutral
"Wretch, I cried, ""thy God hath lent thee- by these angels he hath sent thee",Neutral
Respite- respite and nepenthe,Neutral
"Quaff, oh quaff this kind nepenthe and forget this lost Lenore!""",Neutral
"Quoth the Raven, ""Nevermore.""",Neutral
"Prophet! said I, ""thing of evil! - prophet still, if bird or devil! -",Neutral
Whether Tempter sent,Neutral
Desolate yet all undaunted,Neutral
On this home by Horror haunted- tell me truly,Neutral
"Is there- is there balm in Gilead?- tell me- tell me, I implore!""",Neutral
"Quoth the Raven, ""Nevermore.""",Neutral
"Prophet! said I, ""thing of evil! - prophet still, if bird or devil!",Neutral
By that Heaven that bends above us- by that God we both adore-,Neutral
Tell this soul with sorrow laden if,Neutral
It shall clasp a sainted maiden whom the angels name Lenore-,Neutral
"Clasp a rare and radiant maiden whom the angels name Lenore.""",Neutral
"Quoth the Raven, ""Nevermore.""",Neutral
Be that word our sign in parting,Neutral
"Get thee back into the tempest and the Night's Plutonian shore!
Leave no black plume as a token of that lie thy soul hath spoken!
Leave my loneliness unbroken!- quit the bust above my door!
Take thy beak from out my heart, and take thy form from off my door!",Neutral
"Quoth the Raven, ""Nevermore.""",Neutral
And the Raven,Neutral
On the pallid bust of Pallas just above my chamber door;,Neutral
And his eyes have all the seeming of a demon's that is dreaming,Negative
And the lamp-light o'er him streaming throws his shadow on the floor;,Neutral
And my soul from out that shadow that lies floating on the floor Shall be lifted- nevermore!,Negative
From childhood's hour I have not been,Negative
As others were -- I have not seen,Neutral
As others saw -- I could not bring,Neutral
My passions from a common spring --,Positive
From the same source I have not taken,Neutral
My sorrow -- I could not awaken,Neutral
My heart to joy at the same tone --,Neutral
And all I lov'd -- I lov'd alone --,Neutral
Then -- in my childhood -- in the dawn,Neutral
Of a most stormy life -- was drawn,Negative
From ev'ry depth of good and ill,Neutral
The mystery which binds me still --,Neutral
From the torrent,Neutral
From the red cliff of the mountain --,Neutral
From the sun that 'round me roll'd,Neutral
In its autumn tint of gold --,Positive
From the lightning in the sky,Neutral
As it pass'd me flying by --,Neutral
From the thunder,Neutral
Lo! Death has reared himself a throne,Negative
In a strange city lying alone,Neutral
"Far down within the dim West,",Neutral
Where the good and the bad and the worst and the best,Neutral
Have gone to their eternal rest.,Neutral
There shrines and palaces and towers,-12345
(Time-eaten towers that tremble not!),-12345
Resemble nothing that is ours.,-12345
"Around, by lifting winds forgot,",-12345
Resignedly beneath the sky,-12345
The melancholy waters lie.,-12345
No rays from the holy heaven come down,-12345
On the long night-time of that town;,-12345
But light from out the lurid sea,-12345
Streams up the turrets silently-,-12345
Gleams up the pinnacles far and free-,-12345
Up domes- up spires- up kingly halls-,-12345
Up fanes- up Babylon-like walls-,-12345
Up shadowy long-forgotten bowers,-12345
Of sculptured ivy and stone flowers-,-12345
Up many and many a marvellous shrine,-12345
Whose wreathed friezes intertwine,-12345
"The viol, the violet, and the vine.",-12345
Resignedly beneath the sky,-12345
The melancholy waters lie.,-12345
So blend the turrets and shadows there,-12345
"That all seem pendulous in air,",-12345
While from a proud tower in the town,-12345
Death looks gigantically down.,-12345
There open fanes and gaping graves,-12345
Yawn level with the luminous waves;,-12345
But not the riches there that lie,-12345
In each idol's diamond eye-,-12345
Not the gaily-jewelled dead,-12345
Tempt the waters from their bed;,-12345
"For no ripples curl, alas!",-12345
Along that wilderness of glass-,-12345
No swellings tell that winds may be,-12345
Upon some far-off happier sea-,-12345
No heavings hint that winds have been,-12345
On seas less hideously serene.,-12345
"But lo, a stir is in the air!",-12345
The wave- there is a movement there!,-12345
"As if the towers had thrust aside,",-12345
"In slightly sinking, the dull tide-",-12345
As if their tops had feebly given,-12345
A void within the filmy Heaven.,-12345
The waves have now a redder glow-,-12345
The hours are breathing faint and low-,-12345
"And when, amid no earthly moans,",-12345
"Down, down that town shall settle hence,",-12345
"Hell, rising from a thousand thrones,",-12345
Shall do it reverence.,-12345
"At midnight, in the month of June,",-12345
I stand beneath the mystic moon.,-12345
"An opiate vapor, dewy, dim,",-12345
"Exhales from out her golden rim,",-12345
"And, softly dripping, drop by drop,",-12345
"Upon the quiet mountain top,",-12345
Steals drowsily and musically,-12345
Into the universal valley.,-12345
The rosemary nods upon the grave;,-12345
The lily lolls upon the wave;,-12345
"Wrapping the fog about its breast,",-12345
The ruin molders into rest;,-12345
"Looking like Lethe, see! the lake",-12345
"A conscious slumber seems to take,",-12345
"And would not, for the world, awake.",-12345
All Beauty sleeps!- and lo! where lies,-12345
"Irene, with her Destinies!",-12345
"O, lady bright! can it be right-",-12345
This window open to the night?,-12345
"The wanton airs, from the tree-top,",-12345
Laughingly through the lattice drop-,-12345
"The bodiless airs, a wizard rout,",-12345
"Flit through thy chamber in and out,",-12345
And wave the curtain canopy,-12345
So fitfully- so fearfully-,-12345
Above the closed and fringed lid,-12345
"'Neath which thy slumb'ring soul lies hid,",-12345
"That, o'er the floor and down the wall,",-12345
Like ghosts the shadows rise and fall!,-12345
"Oh, lady dear, hast thou no fear?",-12345
Why and what art thou dreaming here?,-12345
"Sure thou art come O'er far-off seas,",-12345
A wonder to these garden trees!,-12345
